{{Mod
|id                               = ManaOnHitJewel
|mod_groups                       = ManaGainPerTarget
|domain                           = 10
|generation_type                  = 2
|required_level                   = 1
|name                             = of Absorption
|mod_type                         = ManaGainPerTargetForJewel
|stat_text                        = Gain (1-2) [[Mana]] per Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = mana_gain_per_target
|stat1_min                        = 1
|stat1_max                        = 2
|spawn_weight1_tag                = not_dex
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 500
|tags                             = resource, mana, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
