{{Passive skill
|id                                  = AscendancySaboteur8
|int_id                              = -14074
|name                                = Like Clockwork
|buff_id                             = nearby_enemies_cooldown_recovery_rate
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = LikeClockworkNotable (Saboteur)
|stat1_id                            = base_cooldown_speed_+%
|stat1_value                         = 30
|stat_text                           = 30% increased Cooldown Recovery Rate<br>{{Radius||6.0m}} Enemies have 10% reduced Cooldown Recovery Rate
|stat2_id                            = base_cooldown_speed_+%
|stat2_value                         = -10
}}
