{{Mod
|id                               = FasterPoisonInfluenceMaven
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 2
|required_level                   = 83
|name                             = of the Elevated Hunt
|mod_type                         = FasterPoisonDamageMaven
|stat_text                        = [[Poison|Poisons]] you inflict deal Damage (11-15)% faster<br>(10-20)% increased [[Poison]] Duration
|stat1_id                         = faster_poison_%
|stat1_min                        = 11
|stat1_max                        = 15
|stat2_id                         = base_poison_duration_+%
|stat2_min                        = 10
|stat2_max                        = 20
|spawn_weight1_tag                = boots_basilisk
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos_damage, poison, damage, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
