{{Passive skill
|id                                  = reduced_mana_cost137
|int_id                              = 41026
|name                                = Mana and Guard Skill Cooldown Recovery
|icon                                = mana
|stat1_id                            = maximum_mana_+%
|stat1_value                         = 10
|stat2_id                            = guard_skill_cooldown_recovery_+%
|stat2_value                         = 20
|stat_text                           = 10% increased maximum [[Mana]]<br>Guard [[Skill|Skills]] have 20% increased Cooldown Recovery Rate
|connections                         = reduced_mana_cost135,mana_reduced_cost_notable1734
}}
