{{Passive skill
|id                                  = mace_notable1794
|int_id                              = 24721
|name                                = Ribcage Crusher
|is_notable                          = True
|icon                                = BloodyBludgeon
|stat1_id                            = mace_hit_and_ailment_damage_+%
|stat1_value                         = 24
|stat2_id                            = mace_attack_speed_+%
|stat2_value                         = 6
|stat3_id                            = area_of_effect_+%_if_have_stunned_an_enemy_recently
|stat3_value                         = 15
|stat_text                           = [[Mace]] or Sceptre [[Attack|Attacks]] deal 24% increased Damage with [[Hit|Hits]] and Ailments<br>6% increased [[Attack Speed]] with [[Mace|Maces]] or Sceptres<br>15% increased Area of Effect if you have Stunned an Enemy [[Recently]]
|connections                         = mace_damage_and_armour1568,mastery_mace152,mace_damage78,mastery_mace152
}}
