{{Passive skill
|id                                  = two_handed_weapon_attack_speed15
|int_id                              = 56381
|name                                = Two Handed Melee Damage and Attack Speed
|icon                                = 2handedspeed
|stat1_id                            = two_handed_melee_physical_damage_+%
|stat1_value                         = 12
|stat2_id                            = two_handed_melee_attack_speed_+%
|stat2_value                         = 3
|stat3_id                            = two_handed_melee_weapon_ailment_damage_+%
|stat3_value                         = 12
|stat_text                           = 12% increased [[Physical Damage]] with [[Two Handed Melee Weapons]]<br>3% increased [[Attack Speed]] with [[Two Handed Melee Weapons]]<br>[[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 12% increased Damage with Ailments
|connections                         = two_handed_damage642,two_hand_attack_speed1864
}}
