{{Mod
|id                               = MapReducedCurseEffectUniqueMap15
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CurseEffectMap
|mod_type                         = CurseEffectMap
|game_mode                        = 0
|stat_text                        = [[Curse|Curses]] have 50% reduced effect on Monsters
|stat1_id                         = map_monsters_curse_effect_+%
|stat1_min                        = -50
|stat1_max                        = -50
|tags                             = caster, curse
}}
