{{Mod
|id                               = AbyssAddedChaosSuffixJewel2
|mod_groups                       = AddedChaosSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 48
|name                             = of Malice
|mod_type                         = AddedChaosSuffix
|stat_text                        = Adds (8-9) to (14-17) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 8
|stat1_max                        = 9
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 14
|stat2_max                        = 17
|spawn_weight1_tag                = abyss_jewel_melee
|spawn_weight1_value              = 750
|spawn_weight2_tag                = abyss_jewel_ranged
|spawn_weight2_value              = 750
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
