{{Mod
|id                               = DualWieldingMeleeDamageJewel
|mod_groups                       = MeleeTypeDamage
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = Gladiator's
|mod_type                         = IncreasedDualWieldlingDamageForJewel
|stat_text                        = (12-14)% increased [[Attack Damage]] while [[Dual Wield|Dual Wielding]]
|stat1_id                         = damage_while_dual_wielding_+%
|stat1_min                        = 12
|stat1_max                        = 14
|spawn_weight1_tag                = shield_mod
|spawn_weight1_value              = 0
|spawn_weight2_tag                = two_handed_mod
|spawn_weight2_value              = 0
|spawn_weight3_tag                = not_int
|spawn_weight3_value              = 500
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = damage, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
