{{Passive skill
|id                                  = mace_damage_and_armour1568
|int_id                              = 26456
|name                                = Mace Damage and Attack Speed
|icon                                = macedmg
|stat1_id                            = mace_hit_and_ailment_damage_+%
|stat1_value                         = 8
|stat2_id                            = mace_attack_speed_+%
|stat2_value                         = 3
|stat_text                           = [[Mace]] or Sceptre [[Attack|Attacks]] deal 8% increased Damage with [[Hit|Hits]] and Ailments<br>3% increased [[Attack Speed]] with [[Mace|Maces]] or Sceptres
|connections                         = mace_damage77,mace_notable1794
}}
