{{Passive skill
|id                                  = AscendancySaboteur12
|int_id                              = 39834
|name                                = Demolitions Specialist
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = DemolitionSpecialist (Saboteur)
|stat1_id                            = mine_aura_effect_+%
|stat1_value                         = 150
|stat2_id                            = mines_hinder_nearby_enemies_for_x_ms_on_arming
|stat2_value                         = 2000
|stat_text                           = 150% increased Effect of Auras from [[Mine|Mines]]<br>[[Mine|Mines]] Hinder Enemies near them for 2 seconds when they Land
|connections                         = AscendancySaboteur11,AscendancySaboteur7
}}
