{{Mod
|id                               = DelveBodyArmourAvoidCold1
|mod_groups                       = ColdDamageAvoidance
|domain                           = 16
|generation_type                  = 1
|required_level                   = 1
|name                             = Subterranean
|mod_type                         = ColdDamageAvoidance
|stat_text                        = (6-10)% chance to Avoid [[Cold Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_cold_damage_%
|stat1_min                        = 6
|stat1_max                        = 10
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = body_armour
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = shield
|spawn_weight4_value              = 2000
|spawn_weight5_tag                = quiver
|spawn_weight5_value              = 2000
|spawn_weight6_tag                = default
|spawn_weight6_value              = 0
|tags                             = elemental, cold
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
