{{Mod
|id                               = AddedPhysicalDamageEldritchImplicit4
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 28
|required_level                   = 75
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (5-6) to (10-11) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 5
|stat1_max                        = 6
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 10
|stat2_max                        = 11
|spawn_weight1_tag                = no_tier_3_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = gloves
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
