{{Mod
|id                               = BloodlineBloodElementalTrapsAllowed
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = TrapsAllowed
|mod_type                         = TrapsAllowed
|game_mode                        = 0
|stat_text                        = Can have up to 10 additional [[Trap|Traps]] placed at a time (Hidden)
|stat1_id                         = number_of_additional_traps_allowed
|stat1_min                        = 10
|stat1_max                        = 10
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
