{{Mod
|id                               = AllResistancesEldritchImplicit2
|mod_groups                       = AllResistances
|domain                           = 1
|generation_type                  = 29
|required_level                   = 75
|mod_type                         = AllResistances
|stat_text                        = +(7-8)% to all [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = base_resist_all_elements_%
|stat1_min                        = 7
|stat1_max                        = 8
|spawn_weight1_tag                = no_tier_5_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = body_armour
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
