{{Passive skill
|id                                  = affliction_notable_iron_breaker
|int_id                              = 28015
|name                                = Iron Breaker
|is_notable                          = True
|icon                                = IncreasedPhysicalDamage
|stat1_id                            = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat1_value                         = 50
|stat2_id                            = physical_damage_+%
|stat2_value                         = 30
|stat_text                           = [[Hit|Hits]] have 50% chance to ignore Enemy [[Physical Damage]] Reduction<br>30% increased [[Physical Damage]]
}}
