{{Mod
|id                               = ArmourPenetrationEldritchImplicit5
|domain                           = 1
|generation_type                  = 29
|required_level                   = 75
|mod_groups                       = ArmourPenetration
|mod_type                         = ChanceToIgnoreEnemyArmour
|game_mode                        = 0
|stat_text                        = [[Hit|Hits]] have (46-48)% chance to ignore Enemy [[Physical Damage]] Reduction
|stat1_id                         = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat1_min                        = 46
|stat1_max                        = 48
|spawn_weight1_tag                = no_tier_2_eldritch_implicit
|spawn_weight1_value              = 0
|spawn_weight2_tag                = gloves
|spawn_weight2_value              = 700
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = physical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
