{{Passive skill
|id                                  = AscendancyOccultist1
|int_id                              = 31984
|name                                = Energy Shield, Curse Effect
|ascendancy_class                    = Occultist
|icon                                = IncreasedEnergyShieldManaReservation (Occultist)
|stat1_id                            = maximum_energy_shield_+%
|stat1_value                         = 6
|stat2_id                            = curse_effect_+%
|stat2_value                         = 5
|stat_text                           = 6% increased maximum [[Energy Shield]]<br>5% increased Effect of your [[Curse|Curses]]
|connections                         = AscendancyOccultist7,AscendancyOccultist7,AscendancyOccultistStart
}}
