{{Mod
|id                               = AddedChaosDamageUniqueAmulet23
|mod_groups                       = ChaosDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ChaosDamage
|stat_text                        = Adds 19 to 43 [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 19
|stat1_max                        = 19
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 43
|stat2_max                        = 43
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
