{{Passive skill
|id                                  = affliction_notable_antivenom
|int_id                              = 21688
|name                                = Antivenom
|is_notable                          = True
|icon                                = ChaosResistNotable
|stat1_id                            = base_chaos_damage_resistance_%
|stat1_value                         = 23
|stat2_id                            = base_avoid_poison_%
|stat2_value                         = 30
|stat3_id                            = base_maximum_chaos_damage_resistance_%
|stat3_value                         = 1
|stat_text                           = +23% to [[Chaos Resistance]]<br>30% chance to Avoid being [[Poison|Poisoned]]<br>+1% to maximum [[Chaos Resistance]]
}}
