{{Mod
|id                               = EnchantmentZombieElementalResistances2
|mod_groups                       = SkillEnchantment
|domain                           = 1
|generation_type                  = 10
|required_level                   = 75
|name                             = Enchantment Zombie Elemental Resistances 2
|mod_type                         = EnchantmentZombieElementalResistances
|stat_text                        = Raised Zombies have +36% to [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = zombie_elemental_resistances_%
|stat1_min                        = 36
|stat1_max                        = 36
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental, resistance, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
