{{Mod
|id                               = WeaponElementalDamageOnWeapons1_
|domain                           = 1
|generation_type                  = 1
|required_level                   = 4
|name                             = Catalysing
|mod_groups                       = IncreasedWeaponElementalDamagePercent
|mod_type                         = IncreasedWeaponElementalDamagePercent
|game_mode                        = 0
|stat_text                        = (11-20)% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]
|stat1_id                         = elemental_damage_with_attack_skills_+%
|stat1_min                        = 11
|stat1_max                        = 20
|spawn_weight1_tag                = one_hand_weapon
|spawn_weight1_value              = 300
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|generation_weight1_tag           = attack_dagger
|generation_weight1_value         = 100
|generation_weight2_tag           = dagger
|generation_weight2_value         = 50
|generation_weight3_tag           = warstaff
|generation_weight3_value         = 100
|generation_weight4_tag           = staff
|generation_weight4_value         = 50
|generation_weight5_tag           = sceptre
|generation_weight5_value         = 50
|generation_weight6_tag           = wand
|generation_weight6_value         = 50
|generation_weight7_tag           = default
|generation_weight7_value         = 100
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
