{{Mod
|id                               = VillageSpellChanceToBlind
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = GlobalChanceToBlindOnHit
|mod_type                         = SpellChanceToBlind
|game_mode                        = 0
|stat_text                        = (10-20)% chance to Blind Enemies on [[Hit]] with [[Spell|Spells]]
|stat1_id                         = spells_chance_to_blind_on_hit_%
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = village_runesmithing_enchant
}}
