{{Mod
|id                               = SupportedByInfernalLegionUnique__1
|mod_groups                       = SupportedByInfernalLegion
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportBurningMinions
|mod_type                         = SupportedByInfernalLegion
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Level]] 30 Infernal Legion
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_infernal_legion
|stat1_min                        = 30
|stat1_max                        = 30
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
