{{Mod
|id                               = ChanceToAvoidColdDamageEssence3
|mod_groups                       = ColdDamageAvoidance
|domain                           = 1
|generation_type                  = 2
|required_level                   = 26
|name                             = of the Essence
|mod_type                         = ColdDamageAvoidance
|stat_text                        = (5-6)% chance to Avoid [[Cold Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_cold_damage_%
|stat1_min                        = 5
|stat1_max                        = 6
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, cold
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
