{{Mod
|id                               = UniqueJewelNodeArmourUnique__1
|mod_groups                       = UniqueJewelNodeAddition
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = UniqueJewelNodeArmour
|stat_text                        = [[Passive skill|Passive Skills]] in Radius also grant 7% increased [[Armour]]
|stat1_id                         = local_unique_jewel_passives_in_radius_grant_physical_damage_reduction_rating_+%
|stat1_min                        = 7
|stat1_max                        = 7
|tags                             = defences, armour
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
