{{Item
|rarity_id                               = normal
|name                                    = Legion Scarab of The Sekhema
|class_id                                = MapFragment
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Storms of blood-stained sand will drown the enemies of the Maraketh.
|drop_level                              = 73
|tags                                    = scarab, scarab_grants_extra_content, legion_scarab, mythic_scarab, default
|metadata_id                             = Metadata/Items/Scarabs/ScarabLegionNew4
|help_text                               = Can be used in a personal Map Device to add modifiers to a Map.
|stack_size                              = 20
|description                             = Legion Encounters in Area always contain the Maraketh Faction
|stack_size_currency_tab                 = 5000
|map_fragment_bonus1                     = ScarabLegionNew4
}}
