{{Mod
|id                               = MinionRunSpeedEssence7
|mod_groups                       = MinionMovementSpeed
|domain                           = 1
|generation_type                  = 2
|required_level                   = 82
|name                             = of the Essence
|mod_type                         = MinionRunSpeed
|stat_text                        = [[Minion|Minions]] have (28-30)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 28
|stat1_max                        = 30
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = speed, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
