{{Passive skill
|id                                  = AscendancyCustomAssassin16
|int_id                              = 41937
|name                                = Neurotoxin
|ascendancy_class                    = Assassin
|is_notable                          = True
|icon                                = ChaosDamageOverTimeNotable
|stat1_id                            = minions_have_+%_critical_strike_multiplier_per_wither_on_enemies
|stat1_value                         = 5
|stat2_id                            = minions_use_your_main_hand_base_crit_chance_from_weapon
|stat2_value                         = 1
|stat_text                           = [[Minion|Minions]] have +5% to [[Critical Strike Multiplier]] per Withered Debuff on Enemy<br>[[Minion|Minions]]' Base [[Attack]] [[Critical Strike Chance]] is equal to the Critical<br />Strike Chance of your Main Hand Weapon
}}
