{{Mod
|id                               = FlaskBuffCurseEffect5
|mod_groups                       = FlaskBuffWhileHealing
|domain                           = 2
|generation_type                  = 2
|required_level                   = 84
|name                             = of the Owl
|mod_type                         = FlaskBuffCurseEffect
|stat_text                        = (65-60)% reduced Effect of [[Curse|Curses]] on you during Effect
|stat1_id                         = local_self_curse_effect_+%_during_flask_effect
|stat1_min                        = -65
|stat1_max                        = -60
|spawn_weight1_tag                = utility_flask
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
