{{Passive skill
|id                                  = tincture_node_2961
|int_id                              = 53882
|name                                = Flask and Tincture Effect
|icon                                = TinctureFlaskNode1
|stat1_id                            = flask_effect_+%
|stat1_value                         = 5
|stat2_id                            = base_tincture_mod_effect_+%
|stat2_value                         = 5
|stat_text                           = [[Flask|Flasks]] applied to you have 5% increased Effect<br>Tinctures applied to you have 5% increased Effect
|connections                         = tincture_node_2965,tincture_node_2963,strength821,tincture_node_2963,tincture_node_2965,strength821
}}
