{{Mod
|id                               = ChanceToAvoidShockEssence5
|mod_groups                       = ReducedShockChance
|domain                           = 1
|generation_type                  = 2
|required_level                   = 58
|name                             = of the Essence
|mod_type                         = ReducedShockChance
|stat_text                        = (47-50)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 47
|stat1_max                        = 50
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
