{{Mod
|id                               = DelveWeaponIncreasedDamageFromAuras1h1
|mod_groups                       = IncreasedDamageFromAuras
|domain                           = 16
|generation_type                  = 2
|required_level                   = 1
|name                             = of the Underground
|mod_type                         = IncreasedDamageFromAuras
|stat_text                        = Auras from your [[Skill|Skills]] grant 2% increased Damage to you and Allies
|stat1_id                         = auras_grant_damage_+%_to_you_and_your_allies
|stat1_min                        = 2
|stat1_max                        = 2
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = one_hand_weapon
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = damage, aura
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
