{{Mod
|id                               = FlaskBuffCurseEffect3_
|mod_groups                       = FlaskBuffWhileHealing
|domain                           = 2
|generation_type                  = 2
|required_level                   = 46
|name                             = of the Curlew
|mod_type                         = FlaskBuffCurseEffect
|stat_text                        = (52-48)% reduced Effect of [[Curse|Curses]] on you during Effect
|stat1_id                         = local_self_curse_effect_+%_during_flask_effect
|stat1_min                        = -52
|stat1_max                        = -48
|spawn_weight1_tag                = utility_flask
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
