{{Passive skill
|id                                  = affliction_notable_vicious_bite
|int_id                              = 41983
|name                                = Vicious Bite
|is_notable                          = True
|icon                                = IncreasedMinionDamageNotable
|stat1_id                            = minion_critical_strike_multiplier_+
|stat1_value                         = 15
|stat2_id                            = minion_critical_strike_chance_+%
|stat2_value                         = 30
|stat_text                           = [[Minion|Minions]] have +15% to [[Critical Strike Multiplier]]<br>[[Minion|Minions]] have 30% increased [[Critical Strike Chance]]
}}
