{{Mod
|id                               = PowerChargeOnHitWhilePoisonedUnique__1
|mod_groups                       = PowerChargeOnHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PowerChargeOnHitWhilePoisoned
|stat_text                        = Gain a [[Power Charge]] on [[Hit]] while [[Poison|Poisoned]]
|stat1_id                         = add_power_charge_on_hit_while_poisoned_%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
