{{Mod
|id                               = SocketedSkillsForkInfluence1_
|mod_groups                       = DisplaySocketedSkillsFork
|domain                           = 1
|generation_type                  = 2
|required_level                   = 85
|name                             = of the Crusade
|granted_skill                    = ModSupportFork
|mod_type                         = DisplaySocketedSkillsFork
|stat_text                        = Projectiles from [[Item socket|Socketed]] Gems Fork
|stat1_id                         = local_display_socketed_skills_fork
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = bow_crusader
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = skill, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
