{{Mod
|id                               = MovementVelocityWhileChilledUnique__1_
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MovementVelocityWhileChilled
|mod_type                         = MovementVelocityWhileChilled
|game_mode                        = 0
|stat_text                        = (10-20)% increased [[Movement Speed]] while [[Chill|Chilled]]
|stat1_id                         = movement_velocity_+%_while_chilled
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
