{{Passive skill
|id                                  = AscendancyGuardian8
|int_id                              = 46952
|name                                = Armour and Energy Shield, Link Effect
|ascendancy_class                    = Guardian
|icon                                = ArmourEnergyMeleeDamage (Guardian)
|stat1_id                            = physical_damage_reduction_rating_+%
|stat1_value                         = 14
|stat2_id                            = maximum_energy_shield_+%
|stat2_value                         = 5
|stat3_id                            = link_skill_buff_effect_+%
|stat3_value                         = 5
|stat_text                           = 14% increased [[Armour]]<br>5% increased maximum [[Energy Shield]]<br>Link [[Skill|Skills]] have 5% increased Buff Effect
|connections                         = AscendancyGuardian11,AscendancyGuardianStart
}}
