{{Mod
|id                               = CannotUseLifeFlaskUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotUseLifeFlask
|mod_type                         = CannotUseLifeFlask
|game_mode                        = 0
|stat_text                        = [DNT] Can't use [[Life]] [[Flask|Flasks]]
|stat1_id                         = cannot_use_life_flasks
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = life_flask, flask
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
