{{Mod
|id                               = SynthesisImplicitFlatColdDamageTaken2
|mod_groups                       = ColdDamageTaken
|domain                           = 1
|generation_type                  = 3
|required_level                   = 15
|mod_type                         = FlatColdDamageTaken
|stat_text                        = -(40-16) [[Cold Damage]] taken from [[Hit|Hits]]
|stat1_id                         = cold_damage_taken_+
|stat1_min                        = -40
|stat1_max                        = -16
|tags                             = elemental, cold
}}
