{{Mod
|id                               = AdditionalChainUniqueOneHandMace3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = Chain
|mod_type                         = AdditionalChain
|game_mode                        = 0
|stat_text                        = [[Skill|Skills]] Chain +1 times
|stat1_id                         = number_of_chains
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
