{{Passive skill
|id                                  = minion_life_resists2632
|int_id                              = 30658
|name                                = Minion Life and Elemental Resistances
|icon                                = MinionElementalResistancesNode
|stat1_id                            = minion_maximum_life_+%
|stat1_value                         = 8
|stat2_id                            = minion_elemental_resistance_%
|stat2_value                         = 8
|stat_text                           = [[Minion|Minions]] have 8% increased maximum [[Life]]<br>[[Minion|Minions]] have +8% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = minion_life_resists_notable2634,minion_life_resists2631,minion_life_resists_notable2634
}}
