{{Item
|rarity_id                               = normal
|name                                    = The Blessing of Moosh
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = While the Labyrinth traps have claimed countless adventurers, they were not designed with felines in mind.
|drop_level                              = 68
|tags                                    = armour_divination, unique_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheBlessingOfMoosh
|stack_size                              = 4
|description                             = {{c|gem|Level 21 Transfigured Gem}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
}}
