{{Mod
|id                               = AllResistanceAt200StrengthUnique__1
|mod_groups                       = AllResistanceAt200Strength
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AllResistanceAt200Strength
|stat_text                        = +(20-25)% to all [[Elemental Resistance|Elemental Resistances]] while you have at least 200 [[Strength]]
|stat1_id                         = resist_all_elements_%_with_200_or_more_strength
|stat1_min                        = 20
|stat1_max                        = 25
|tags                             = elemental, resistance
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
