{{Mod
|id                               = PhysicalAttackDamageReducedUnique__1
|mod_groups                       = PhysicalAttackDamageTaken
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhysicalAttackDamageTaken
|stat_text                        = -(60-30) [[Physical Damage]] taken from [[Attack]] [[Hit|Hits]]
|stat1_id                         = physical_attack_damage_taken_+
|stat1_min                        = -60
|stat1_max                        = -30
|tags                             = physical, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
