{{Mod
|id                               = AbyssMinionLifeLeechJewel1
|mod_groups                       = MinionLifeLeech
|domain                           = 13
|generation_type                  = 2
|required_level                   = 1
|name                             = of Vampirism
|mod_type                         = MinionLifeLeech
|stat_text                        = [[Minion|Minions]] [[Leech]] (0.3-0.5)% of Damage as [[Life]]
|stat1_id                         = minion_life_leech_from_any_damage_permyriad
|stat1_min                        = 30
|stat1_max                        = 50
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, life, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
