{{Mod
|id                               = ManaGainOnHitCursedEnemyUnique__1
|mod_groups                       = ManaGainPerTarget
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ManaGainOnHitCursedEnemy
|stat_text                        = Gain (10-14) [[Mana]] per Cursed Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = mana_gained_on_attack_hit_vs_cursed_enemies
|stat1_min                        = 10
|stat1_max                        = 14
|tags                             = resource, mana, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
