{{Mod
|id                               = CannotBePoisonedWhileBleedingUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotBePoisoned
|mod_type                         = CannotBePoisonedWhileBleeding
|game_mode                        = 0
|stat_text                        = Cannot be [[Poison|Poisoned]] while Bleeding
|stat1_id                         = cannot_be_poisoned_while_bleeding
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
