{{Mod
|id                               = AbyssAvoidPoisonJewel2__
|mod_groups                       = ChanceToAvoidPoison
|domain                           = 13
|generation_type                  = 2
|required_level                   = 70
|name                             = of Immunity
|mod_type                         = ChanceToAvoidPoison
|stat_text                        = (41-50)% chance to Avoid being [[Poison|Poisoned]]
|stat1_id                         = base_avoid_poison_%
|stat1_min                        = 41
|stat1_max                        = 50
|spawn_weight1_tag                = default
|spawn_weight1_value              = 150
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
