{{Passive skill
|id                                  = warcry_empowered2711
|int_id                              = 65400
|name                                = Warcry Cooldown Recovery and Exerted Attack Damage
|icon                                = EmpoweredAttackWarcryNode1
|stat1_id                            = warcry_cooldown_speed_+%
|stat1_value                         = 12
|stat2_id                            = empowered_attack_damage_+%
|stat2_value                         = 15
|stat_text                           = 12% increased Warcry Cooldown Recovery Rate<br>Exerted [[Attack|Attacks]] deal 15% increased Damage
|connections                         = warcry_empowered_notable2713,warcry_empowered2710,warcry_empowered_notable2713
}}
