{{Passive skill
|id                                  = dual_wield_spells_and_block2308
|int_id                              = 31619
|name                                = Dual Wield Spell Damage and Spell Block
|icon                                = DualWieldNodeDefensive
|stat1_id                            = spell_damage_+%_while_dual_wielding
|stat1_value                         = 10
|stat2_id                            = spell_block_while_dual_wielding_%
|stat2_value                         = 3
|stat_text                           = 10% increased [[Spell Damage]] while [[Dual Wield|Dual Wielding]]<br>+3% Chance to [[Block]] [[Spell Damage]] while [[Dual Wield|Dual Wielding]]
|connections                         = dual_wield_spells_and_block2306,dual_wield_spells_and_block_notable2309
}}
