{{Passive skill
|id                                  = mace_critical_strikes2479
|int_id                              = 18379
|name                                = Mace Critical Strike Chance and Multiplier
|icon                                = macecritdmgspeed
|stat1_id                            = mace_critical_strike_multiplier_+
|stat1_value                         = 16
|stat2_id                            = mace_critical_strike_chance_+%
|stat2_value                         = 16
|stat_text                           = +16% to [[Critical Strike Multiplier]] with [[Mace|Maces]] or Sceptres<br>16% increased [[Critical Strike Chance]] with [[Mace|Maces]] or Sceptres
|connections                         = mace_critical_strikes_notable2480,mace_critical_multiplier_and_attack_speed951,mace_critical_strikes_notable2480
}}
