{{Passive skill
|id                                  = affliction_notable_calamitous
|int_id                              = 41594
|name                                = Calamitous
|is_notable                          = True
|icon                                = IncreasedAttackDamageNotable
|stat1_id                            = elemental_damage_with_attack_skills_+%
|stat1_value                         = 30
|stat2_id                            = chance_to_freeze_shock_ignite_%
|stat2_value                         = 10
|stat3_id                            = non_damaging_ailment_effect_+%
|stat3_value                         = 15
|stat_text                           = 30% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]<br>10% chance to Freeze, [[Shock]] and [[Ignite]]<br>15% increased Effect of Non-Damaging Ailments
}}
