{{Mod
|id                               = MapSupporterPossessed2
|domain                           = 5
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = MapSupporterPossessed
|mod_type                         = MapSupporterPossessed
|game_mode                        = 0
|stat_text                        = Rare and Unique Monsters in Area are Possessed by 2 to 3 Tormented Spirits and their [[Minion|Minions]] are Touched<br>4% Chance to convert Maps to Unique Maps<br>26% increased Rarity of Items found in this Area
|stat1_id                         = memory_line_minimum_possessions_of_rare_unique_monsters
|stat1_min                        = 2
|stat1_max                        = 2
|stat2_id                         = map_supporter_map_to_unique_map_permyriad
|stat2_min                        = 400
|stat2_max                        = 400
|stat3_id                         = map_item_drop_rarity_+%
|stat3_min                        = 26
|stat3_max                        = 26
|stat4_id                         = memory_line_maximum_possessions_of_rare_unique_monsters
|stat4_min                        = 3
|stat4_max                        = 3
}}
