{{Mod
|id                               = MinionRunSpeedUnique__6
|mod_groups                       = MinionMovementSpeed
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionRunSpeed
|stat_text                        = [[Minion|Minions]] have (15-25)% increased [[Movement Speed]]
|stat1_id                         = minion_movement_speed_+%
|stat1_min                        = 15
|stat1_max                        = 25
|tags                             = speed, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
