{{Mod
|id                               = JunMaster2CurseEffect1
|domain                           = 9
|generation_type                  = 2
|required_level                   = 60
|name                             = of Craft
|mod_groups                       = CurseEffectiveness
|mod_type                         = CurseEffectiveness
|game_mode                        = 0
|stat_text                        = (4-5)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 4
|stat1_max                        = 5
|spawn_weight1_tag                = shield
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = unveiled_mod, caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
