{{Mod
|id                               = HellscapeUpsideIgniteDamageFaster1h3
|mod_groups                       = FasterDamageAilments
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = FasterIgniteDamage
|stat_text                        = [[Ignite|Ignites]] you inflict deal Damage (6-7)% faster
|stat1_id                         = faster_burn_%
|stat1_min                        = 6
|stat1_max                        = 7
|spawn_weight1_tag                = sceptre
|spawn_weight1_value              = 500
|spawn_weight2_tag                = wand
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental_damage, damage, elemental, fire, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
