{{Passive skill
|id                                  = AscendancyAssassin4
|int_id                              = 48239
|name                                = Deadly Infusion
|ascendancy_class                    = Assassin
|is_notable                          = True
|icon                                = DeadlyInfusion (Assassin)
|stat1_id                            = critical_strike_multiplier_+_per_power_charge
|stat1_value                         = 5
|stat2_id                            = additional_critical_strike_chance_permyriad_while_at_maximum_power_charges
|stat2_value                         = 150
|stat_text                           = +5% to [[Critical Strike Multiplier]] per [[Power Charge]]<br>+1.5% [[Critical Strike Chance]] while at maximum [[Power Charge|Power Charges]]
|connections                         = AscendancyAssassin3
}}
