{{Mod
|id                               = IncreasedAttackAreaOfEffectUnique__3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = IncreasedAttackAreaOfEffect
|mod_type                         = IncreasedAttackAreaOfEffect
|game_mode                        = 0
|stat_text                        = (-40-40)% increased Area of Effect for [[Attack|Attacks]]
|stat1_id                         = attack_area_of_effect_+%
|stat1_min                        = -40
|stat1_max                        = 40
|tags                             = attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
