{{Passive skill
|id                                  = wand_damage245
|int_id                              = 63067
|name                                = Wand Damage and Attack Speed
|icon                                = WandSpeedAccuracyNode
|stat1_id                            = damage_+%_while_wielding_wand
|stat1_value                         = 10
|stat2_id                            = wand_attack_speed_+%
|stat2_value                         = 4
|stat_text                           = 10% increased Damage while wielding a [[Axe|Wand]]<br>4% increased [[Attack Speed]] with [[Axe|Wands]]
|connections                         = wandslinger's_prowess232,wand_damage_and_accuracy243,wandslinger's_prowess232
}}
