{{Passive skill
|id                                  = AscendancyChampion10
|int_id                              = 56967
|name                                = Worthy Foe
|ascendancy_class                    = Champion
|is_notable                          = True
|icon                                = WorthyFoe (Champion)
|stat1_id                            = taunted_enemies_damage_taken_+%
|stat1_value                         = 15
|stat2_id                            = enemies_taunted_by_you_cannot_evade_attacks
|stat2_value                         = 1
|stat3_id                            = chance_to_taunt_on_hit_%
|stat3_value                         = 100
|stat_text                           = Enemies Taunted by you take 15% increased Damage<br>Enemies Taunted by you cannot Evade [[Attack|Attacks]]<br>Taunt on [[Hit]]
|connections                         = AscendancyChampion1
}}
