{{Passive skill
|id                                  = AscendancyCustomInquisitor9
|int_id                              = 11219
|name                                = Impure Blood
|ascendancy_class                    = Inquisitor
|is_notable                          = True
|icon                                = UltimatumNotable3 (AtlasTrees)
|stat1_id                            = base_skill_cost_life_instead_of_mana
|stat1_value                         = 1
|stat2_id                            = immune_to_corrupted_blood
|stat2_value                         = 1
|stat_text                           = [[Skill|Skills]] Cost [[Life]] instead of [[Mana]]
}}
