{{Mod
|id                               = AbyssAvoidFreezeAndChillJewel2
|mod_groups                       = ChanceToAvoidFreezeAndChill
|domain                           = 13
|generation_type                  = 2
|required_level                   = 70
|name                             = of Heating
|mod_type                         = ChanceToAvoidFreezeAndChill
|stat_text                        = (41-50)% chance to Avoid being [[Freeze|Frozen]]
|stat1_id                         = base_avoid_freeze_%
|stat1_min                        = 41
|stat1_max                        = 50
|spawn_weight1_tag                = default
|spawn_weight1_value              = 150
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
